Campaign_Name,Time,Payout,Clicks,Partner
Temu Global - CPS,K-November'2023,2.3228,14862,Pokket_XO
Temu Global - CPS,L-December'2023,0,24327,Pokket_XO
Temu Global - CPS,L-December'2023,0,24327,Pokket_XO
Temu Global - CPS,M-January'2024,2.7628,40001,Pokket_XO
Temu Global - CPS,M-January'2024,2.7628,40001,Pokket_XO
Temu Global - CPS,N-February'2024,2.3276,26884,Pokket_XO
Temu Global - CPS,N-February'2024,2.3276,26884,Pokket_XO
Tenorshare [CPS] WW,E-May'2023,0,611,Admitad_FS
TheOutNet GCC,B-February'2023,0,844,Admitad_FS
TheOutNet GCC,C-March'2023,0,1294,Admitad_FS
TheOutNet GCC,D-April'2023,0,1466,Admitad_FS
TheOutNet GCC,E-May'2023,0,1252,Admitad_FS
TheOutNet GCC,G-July'2023,0,810,Admitad_FS
Thriftbooks - CPS,A-January'2023,55.0305,2800,Pokket_FS
Thriftbooks - CPS,B-February'2023,24.5581,1122,Pokket_FS
Thriftbooks - CPS,C-March'2023,15.939,917,Pokket_FS
Thriftbooks - CPS,D-April'2023,15.939,917,Pokket_FS
Thriftbooks - CPS,E-May'2023,16.935,869,Pokket_FS
Thriftbooks - CPS,F-June'2023,14.6427,832,Pokket_FS
Thriftbooks - CPS,B-February'2023,5.734,1695,Pokket_XO
Thriftbooks - CPS,B-February'2023,5.734,1695,Pokket_XO
Thriftbooks - CPS,C-March'2023,4.7225,884,Pokket_XO
Thriftbooks - CPS,C-March'2023,4.7225,884,Pokket_XO
Thriftbooks - CPS,D-April'2023,2.6437,638,Pokket_XO
Thriftbooks - CPS,D-April'2023,2.6437,638,Pokket_XO
Thriftbooks - CPS,E-May'2023,4.7755,734,Pokket_XO
Thriftbooks - CPS,E-May'2023,4.7755,734,Pokket_XO
Thriftbooks - CPS,F-June'2023,5.2815,682,Pokket_XO
Thriftbooks - CPS,F-June'2023,5.2815,682,Pokket_XO
